,title,link,address,gps
114,Vento forte: chiuse le piste da sci,http://www.trentotoday.it/meteo/piste-chiuse-vento-trentino.html,"Strada del Monte Bondone - Trento, Trento, Italia","[46.069784, 11.094918]"
115,Memoria: 178 studenti trentini in viaggio verso Auschwitz,http://www.trentotoday.it/formazione/scuola/viaggio-auschwitz-studenti.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
116,"""Sono di Salerno ma tifo Trento fin da piccolo"": fan gialloblù scrive il brano per la curva",http://www.trentotoday.it/attualita/tifoso-trento-coro-salerno.html,"Via di Briamasco - Trento, Trento, Italia","[46.065025, 11.11784]"
117,Mercatino dei Gaudenti: tutte le date del 2020,http://www.trentotoday.it/eventi/mercatino-usato-gaudenti-quando.html,"Piazza Giovanni Battista Garzetti - Trento, Trento, Italia","[46.065905, 11.123966]"
118,Val di Non: violento scontro tra due auto al bivio di Dermulo,http://www.trentotoday.it/cronaca/incidente-stradale/dermulo-sebino-strada.html,"SS43 - Denno, Trento, Italia","[46.273788, 11.064459]"
119,"Vento forte, il Comune: ""Attenzione agli alberi""",http://www.trentotoday.it/attualita/vento-forte-alberi-4-5-febbraio.html,"Piazza delle Erbe - Trento, Trento, Italia","[46.067531, 11.123911]"
120,"Enrico Ruggeri a Trento con ""Una storia da cantare tour""",http://www.trentotoday.it/eventi/enrico-ruggeri-santa-chiara-2020.html,"Via Santa Croce, 67 - Trento, Trento, Italia","[46.063447, 11.12452]"
121,Ricercato per truffa in Francia ma è in vacanza in Val Gardena: arrestato dai Carabinieri,http://www.trentotoday.it/cronaca/ricercato-truffa-francia-alto-adige.html,"Via Alto Adige - Trento, Trento, Italia","[46.127139, 11.109432]"
122,Asilo: ecco come fare l'iscrizione,http://www.trentotoday.it/attualita/iscrizione-asilo-2020-2021.html,"Via Giovanni Zanella - Trento, Trento, Italia","[46.0675, 11.118876]"
123,Frontale tra auto e furgone sulla Maza: viabilità in tilt verso la Busa,http://www.trentotoday.it/cronaca/incidente-stradale/maza-arco-code-4-febbraio.html,"Localit&agrave; Maza - Arco, Trento, Italia","[45.899546, 10.887311]"
124,Una donna normale: Roberto Costantini presenta il suo nuovo libro,http://www.trentotoday.it/eventi/roberto-costantini-ubik.html,"Corso 3 Novembre 1918 - Trento, Trento, Italia","[46.06108, 11.125068]"
125,"Incidente sulla Gotarda: tre auto coinvolte, ferite due ventenni",http://www.trentotoday.it/cronaca/incidente-stradale/gotarda-romagnano-aldeno-chiusa.html,"via della Gotarda - Trento, Trento, Italia","[46.008714, 11.124951]"
126,"Essere Leonardo, a Palazzo delle Albere due spettacoli su Da Vinci",http://www.trentotoday.it/eventi/leonardo-davinci-muse-2020.html,"Via Roberto da Sanseverino - Trento, Trento, Italia","[46.056951, 11.112458]"
127,"Autostrada gratis nelle ore ""calde"" a Rovereto",http://www.trentotoday.it/attualita/autostrada-gratis-rovereto.html,"A22 - Rovereto, Trento, Italia","[45.899481, 11.02443]"
128,Con i vecchi pacchi del caffè si fanno i sacchi a pelo per i senza dimora,http://www.trentotoday.it/cronaca/sacchi-pelo-confezioni-caffe.html,"Via della Saluga - Trento, Trento, Italia","[46.070888, 11.129827]"
129,"Meteo: settimana estremamente variabile, con forte vento",http://www.trentotoday.it/meteo/previsioni-4-5-6-febbraio.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
130,Messaggio della Protezione Civile: in arrivo forti raffiche di vento,http://www.trentotoday.it/meteo/vento-forte-4-5-febbraio.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
